290.00, 290.00, 295.00, 297.00, 296.00, 298.00, 308.00, 304.00, 304.00, 308.00, 320.00, 314.00, 311.00, 328.00, 411.00, 458.00, 508.00, 515.00, 519.00, 518.00, 525.00, 520.00, 522.00, 529.00, 529.00, 523.00, 526.00, 525.00, 522.00, 526.00, 535.00, 531.00, 525.00, 528.00, 531.00, 529.00, 536.00, 532.00, 534.00, 533.00, 535.00, 530.00, 529.00, 535.00, 529.00, 526.00, 531.00, 529.00, 540.00, 537.00, 527.00, 
290.00, 290.00, 292.00, 289.00, 291.00, 306.00, 302.00, 304.00, 312.00, 317.00, 311.00, 312.00, 322.00, 319.00, 341.00, 415.00, 493.00, 508.00, 511.00, 515.00, 517.00, 518.00, 525.00, 525.00, 524.00, 524.00, 530.00, 522.00, 522.00, 522.00, 531.00, 526.00, 526.00, 533.00, 529.00, 529.00, 536.00, 540.00, 535.00, 533.00, 538.00, 529.00, 529.00, 536.00, 533.00, 526.00, 526.00, 531.00, 547.00, 535.00, 511.00, 
290.00, 297.00, 290.00, 290.00, 304.00, 302.00, 300.00, 311.00, 307.00, 308.00, 314.00, 320.00, 318.00, 321.00, 332.00, 417.00, 452.00, 489.00, 505.00, 507.00, 507.00, 518.00, 518.00, 515.00, 514.00, 527.00, 518.00, 518.00, 518.00, 526.00, 522.00, 523.00, 532.00, 528.00, 526.00, 535.00, 529.00, 529.00, 529.00, 536.00, 530.00, 529.00, 535.00, 536.00, 528.00, 526.00, 529.00, 539.00, 549.00, 536.00, 506.00, 
293.00, 292.00, 290.00, 288.00, 300.00, 303.00, 302.00, 305.00, 305.00, 311.00, 313.00, 319.00, 324.00, 323.00, 322.00, 369.00, 430.00, 474.00, 491.00, 503.00, 501.00, 500.00, 504.00, 512.00, 505.00, 507.00, 512.00, 520.00, 514.00, 514.00, 522.00, 520.00, 518.00, 522.00, 524.00, 522.00, 525.00, 532.00, 533.00, 526.00, 525.00, 535.00, 525.00, 526.00, 525.00, 533.00, 526.00, 532.00, 551.00, 528.00, 504.00, 
290.00, 293.00, 294.00, 290.00, 298.00, 304.00, 303.00, 308.00, 303.00, 313.00, 315.00, 314.00, 320.00, 323.00, 327.00, 332.00, 406.00, 471.00, 483.00, 491.00, 498.00, 506.00, 497.00, 500.00, 501.00, 503.00, 502.00, 510.00, 514.00, 509.00, 511.00, 517.00, 513.00, 515.00, 515.00, 523.00, 522.00, 520.00, 524.00, 523.00, 522.00, 522.00, 520.00, 527.00, 518.00, 518.00, 530.00, 534.00, 539.00, 532.00, 474.00, 
292.00, 291.00, 288.00, 299.00, 305.00, 301.00, 299.00, 310.00, 307.00, 310.00, 317.00, 313.00, 316.00, 323.00, 324.00, 344.00, 376.00, 447.00, 483.00, 489.00, 491.00, 496.00, 491.00, 505.00, 497.00, 496.00, 504.00, 503.00, 504.00, 513.00, 509.00, 506.00, 507.00, 514.00, 512.00, 512.00, 518.00, 522.00, 515.00, 515.00, 515.00, 512.00, 512.00, 517.00, 519.00, 515.00, 518.00, 534.00, 532.00, 518.00, 484.00, 
287.00, 290.00, 293.00, 291.00, 290.00, 306.00, 303.00, 305.00, 303.00, 318.00, 313.00, 313.00, 322.00, 329.00, 326.00, 335.00, 396.00, 440.00, 471.00, 488.00, 493.00, 489.00, 491.00, 497.00, 502.00, 500.00, 493.00, 497.00, 503.00, 504.00, 504.00, 512.00, 513.00, 508.00, 507.00, 514.00, 508.00, 512.00, 508.00, 514.00, 509.00, 508.00, 513.00, 506.00, 505.00, 515.00, 515.00, 531.00, 529.00, 514.00, 491.00, 
294.00, 297.00, 290.00, 290.00, 305.00, 299.00, 301.00, 310.00, 311.00, 308.00, 310.00, 318.00, 320.00, 322.00, 329.00, 333.00, 392.00, 445.00, 480.00, 487.00, 489.00, 488.00, 497.00, 492.00, 491.00, 496.00, 492.00, 500.00, 504.00, 504.00, 508.00, 504.00, 505.00, 513.00, 506.00, 504.00, 505.00, 514.00, 508.00, 508.00, 513.00, 513.00, 506.00, 504.00, 504.00, 510.00, 519.00, 538.00, 534.00, 504.00, 477.00, 
290.00, 288.00, 297.00, 290.00, 290.00, 298.00, 307.00, 306.00, 305.00, 313.00, 319.00, 313.00, 317.00, 329.00, 326.00, 333.00, 372.00, 446.00, 474.00, 486.00, 493.00, 489.00, 489.00, 496.00, 497.00, 493.00, 491.00, 502.00, 508.00, 503.00, 501.00, 500.00, 504.00, 505.00, 504.00, 511.00, 511.00, 504.00, 504.00, 510.00, 504.00, 506.00, 502.00, 502.00, 509.00, 507.00, 515.00, 537.00, 523.00, 505.00, 464.00, 
288.00, 297.00, 290.00, 290.00, 299.00, 308.00, 303.00, 303.00, 315.00, 310.00, 313.00, 317.00, 318.00, 318.00, 322.00, 333.00, 354.00, 441.00, 466.00, 480.00, 484.00, 490.00, 489.00, 498.00, 493.00, 491.00, 494.00, 498.00, 499.00, 505.00, 500.00, 508.00, 501.00, 503.00, 512.00, 506.00, 504.00, 511.00, 504.00, 505.00, 503.00, 506.00, 502.00, 501.00, 500.00, 510.00, 518.00, 533.00, 526.00, 511.00, 486.00, 
